Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
;;;;;;;;
Трехком-ная Сталинка на Тверской!;3-комн. квартира, 105 м?;Москва, ЦАО, р-н Тверской, 1-я Тверская-Ямская ул., 11;6 900 ?/сутки;8 из 8;105 м?;сегодня, 05:35;https://www.cian.ru/rent/flat/213187467/;['https://cdn-p.cian.site/images/0/913/699/posutochnaja-kvartira-moskva-tverskayayamskaya-1ya-ulica-996319067-4.jpg', 'https://cdn-p.cian.site/images/0/913/699/posutochnaja-kvartira-moskva-tverskayayamskaya-1ya-ulica-996319067-4.jpg', 'https://cdn-p.cian.site/images/2/223/699/posutochnaja-kvartira-moskva-tverskayayamskaya-1ya-ulica-996322288-2.jpg', 'https://cdn-p.cian.site/images/8/123/699/posutochnaja-kvartira-moskva-tverskayayamskaya-1ya-ulica-996321873-2.jpg', 'https://cdn-p.cian.site/images/9/123/699/posutochnaja-kvartira-moskva-tverskayayamskaya-1ya-ulica-996321915-2.jpg', 'https://www.cian.ru/avatar.axd?i=366151&t=2&p=2']
;;;;;;;;
43й этаж, остиная 90м2, караоке,;3-комн. апартаменты, 195 м?;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12;32 000 ?/сутки;43 из 95;195 м?;сегодня, 11:11;https://www.cian.ru/rent/flat/252603958/;['https://cdn-p.cian.site/images/86/519/401/posutochnaja-kvartira-moskva-presnenskaya-naberezhnaya-1049156869-4.jpg', 'https://cdn-p.cian.site/images/86/519/401/posutochnaja-kvartira-moskva-presnenskaya-naberezhnaya-1049156869-4.jpg', 'https://cdn-p.cian.site/images/86/519/401/posutochnaja-kvartira-moskva-presnenskaya-naberezhnaya-1049156857-2.jpg', 'https://cdn-p.cian.site/images/86/519/401/posutochnaja-kvartira-moskva-presnenskaya-naberezhnaya-1049156865-2.jpg', 'https://cdn-p.cian.site/images/86/519/401/posutochnaja-kvartira-moskva-presnenskaya-naberezhnaya-1049156867-2.jpg', 'https://www.cian.ru/avatar.axd?i=150933&t=2&p=2']
;;;;;;;;
Hanaka. Уютно.  Экономно. Рядом.;1-комн. апартаменты, 40 м?;Москва, ЮАО, р-н Орехово-Борисово Северное, Ореховый бул., 11К1;2 200 ?/сутки;7 из 9;40 м?;сегодня, 07:21;https://www.cian.ru/rent/flat/198205949/;['https://cdn-p.cian.site/images/6/222/689/posutochnaja-kvartira-moskva-orehovyy-bulvar-986222616-4.jpg', 'https://cdn-p.cian.site/images/6/222/689/posutochnaja-kvartira-moskva-orehovyy-bulvar-986222616-4.jpg', 'https://cdn-p.cian.site/images/6/222/689/posutochnaja-kvartira-moskva-orehovyy-bulvar-986222624-2.jpg', 'https://cdn-p.cian.site/images/6/222/689/posutochnaja-kvartira-moskva-orehovyy-bulvar-986222622-2.jpg', 'https://cdn-p.cian.site/images/6/222/689/posutochnaja-kvartira-moskva-orehovyy-bulvar-986222617-2.jpg', 'https://www.cian.ru/avatar.axd?i=204011&t=2&p=2']
;;;;;;;;
Большая студия на Багратионовской;Студия, 45 м?;Москва, ЗАО, р-н Филевский парк, Кастанаевская ул., 7;2 500 ?/сутки;7 из 12;45 м?;сегодня, 11:12;https://www.cian.ru/rent/flat/252845198/;['https://cdn-p.cian.site/images/57/751/501/posutochnaja-kvartira-moskva-kastanaevskaya-ulica-1051577540-4.jpg', 'https://cdn-p.cian.site/images/57/751/501/posutochnaja-kvartira-moskva-kastanaevskaya-ulica-1051577540-4.jpg', 'https://cdn-p.cian.site/images/57/751/501/posutochnaja-kvartira-moskva-kastanaevskaya-ulica-1051577521-2.jpg', 'https://cdn-p.cian.site/images/67/751/501/posutochnaja-kvartira-moskva-kastanaevskaya-ulica-1051577683-2.jpg', 'https://cdn-p.cian.site/images/18/751/501/posutochnaja-kvartira-moskva-kastanaevskaya-ulica-1051578145-2.jpg']
;;;;;;;;
1-комн. кв., 40 м?, 8/9 этаж;1-комн. квартира, 40 м?;Москва, СВАО, р-н Бабушкинский, Печорская ул., 16;2 400 ?/сутки;8 из 9;40 м?;сегодня, 07:31;https://www.cian.ru/rent/flat/251589386/;['https://cdn-p.cian.site/images/24/500/401/posutochnaja-kvartira-moskva-pechorskaya-ulica-1040054287-4.jpg', 'https://cdn-p.cian.site/images/24/500/401/posutochnaja-kvartira-moskva-pechorskaya-ulica-1040054287-4.jpg', 'https://cdn-p.cian.site/images/24/500/401/posutochnaja-kvartira-moskva-pechorskaya-ulica-1040054280-2.jpg', 'https://cdn-p.cian.site/images/24/500/401/posutochnaja-kvartira-moskva-pechorskaya-ulica-1040054281-2.jpg', 'https://cdn-p.cian.site/images/24/500/401/posutochnaja-kvartira-moskva-pechorskaya-ulica-1040054278-2.jpg', 'https://www.cian.ru/avatar.axd?i=204011&t=2&p=2']
;;;;;;;;
Квартира-Евро ремонт 5 минут пеш.;1-комн. квартира, 38 м?;Москва, ЦАО, р-н Пресненский, ул. Грузинский Вал, 18/15;2 999 ?/сутки;8 из 8;38 м?;сегодня, 06:20;https://www.cian.ru/rent/flat/200831944/;['https://cdn-p.cian.site/images/2/734/748/kvartira-moskva-ulica-gruzinskiy-val-847437241-4.jpg', 'https://cdn-p.cian.site/images/2/734/748/kvartira-moskva-ulica-gruzinskiy-val-847437241-4.jpg', 'https://cdn-p.cian.site/images/2/734/748/kvartira-moskva-ulica-gruzinskiy-val-847437251-2.jpg', 'https://cdn-p.cian.site/images/2/734/748/kvartira-moskva-ulica-gruzinskiy-val-847437240-2.jpg', 'https://cdn-p.cian.site/images/2/734/748/kvartira-moskva-ulica-gruzinskiy-val-847437244-2.jpg', 'https://www.cian.ru/avatar.axd?i=135036&t=2&p=2']
;;;;;;;;
Уютно. Без залога. Рядом с метро.;1-комн. апартаменты, 40 м?;Москва, ЮВАО, р-н Выхино-Жулебино, Рязанский просп., 97к2;2 300 ?/сутки;5 из 24;40 м?;сегодня, 08:13;https://www.cian.ru/rent/flat/201570060/;['https://cdn-p.cian.site/images/28/653/501/posutochnaja-kvartira-moskva-ryazanskiy-prospekt-1053568279-4.jpg', 'https://cdn-p.cian.site/images/28/653/501/posutochnaja-kvartira-moskva-ryazanskiy-prospekt-1053568279-4.jpg', 'https://cdn-p.cian.site/images/28/653/501/posutochnaja-kvartira-moskva-ryazanskiy-prospekt-1053568275-2.jpg', 'https://cdn-p.cian.site/images/28/653/501/posutochnaja-kvartira-moskva-ryazanskiy-prospekt-1053568281-2.jpg', 'https://cdn-p.cian.site/images/28/653/501/posutochnaja-kvartira-moskva-ryazanskiy-prospekt-1053568282-2.jpg', 'https://www.cian.ru/avatar.axd?i=204011&t=2&p=2']
;;;;;;;;
Апартаменты Hanaka Сиреневый;1-комн. апартаменты, 40 м?;Москва, ВАО, р-н Северное Измайлово, Сиреневый бул., 27К1;2 300 ?/сутки;7 из 9;40 м?;сегодня, 05:13;https://www.cian.ru/rent/flat/221722099/;['https://cdn-p.cian.site/images/6/121/219/kvartira-moskva-sirenevyy-bulvar-912121689-4.jpg', 'https://cdn-p.cian.site/images/6/121/219/kvartira-moskva-sirenevyy-bulvar-912121689-4.jpg', 'https://cdn-p.cian.site/images/6/121/219/kvartira-moskva-sirenevyy-bulvar-912121687-2.jpg', 'https://cdn-p.cian.site/images/6/121/219/kvartira-moskva-sirenevyy-bulvar-912121686-2.jpg', 'https://cdn-p.cian.site/images/6/121/219/kvartira-moskva-sirenevyy-bulvar-912121681-2.jpg', 'https://www.cian.ru/avatar.axd?i=204011&t=2&p=2']
;;;;;;;;
Hanaka. Уютно.  Экономно. Рядом.;1-комн. квартира, 36 м?;Москва, ЮАО, р-н Братеево, Алма-Атинская ул., 8К1;2 300 ?/сутки;3 из 14;36 м?;сегодня, 08:04;https://www.cian.ru/rent/flat/197746513/;['https://cdn-p.cian.site/images/4/663/689/posutochnaja-kvartira-moskva-almaatinskaya-ulica-986366492-4.jpg', 'https://cdn-p.cian.site/images/4/663/689/posutochnaja-kvartira-moskva-almaatinskaya-ulica-986366492-4.jpg', 'https://cdn-p.cian.site/images/4/663/689/posutochnaja-kvartira-moskva-almaatinskaya-ulica-986366489-2.jpg', 'https://cdn-p.cian.site/images/4/663/689/posutochnaja-kvartira-moskva-almaatinskaya-ulica-986366485-2.jpg', 'https://cdn-p.cian.site/images/4/663/689/posutochnaja-kvartira-moskva-almaatinskaya-ulica-986366491-2.jpg', 'https://www.cian.ru/avatar.axd?i=204011&t=2&p=2']
;;;;;;;;
2-комн. кв., 44 м?, 4/8 этаж;2-комн. квартира, 44 м?;Москва, ЦАО, р-н Пресненский, Грузинский пер., 16;3 499 ?/сутки;4 из 8;44 м?;сегодня, 07:22;https://www.cian.ru/rent/flat/148083224/;['https://cdn-p.cian.site/images/3/247/412/kvartira-moskva-gruzinskiy-pereulok-214742301-4.jpg', 'https://cdn-p.cian.site/images/3/247/412/kvartira-moskva-gruzinskiy-pereulok-214742301-4.jpg', 'https://cdn-p.cian.site/images/3/247/412/kvartira-moskva-gruzinskiy-pereulok-214742302-2.jpg', 'https://cdn-p.cian.site/images/2/247/412/kvartira-moskva-gruzinskiy-pereulok-214742298-2.jpg', 'https://cdn-p.cian.site/images/3/247/412/kvartira-moskva-gruzinskiy-pereulok-214742300-2.jpg', 'https://www.cian.ru/avatar.axd?i=135036&t=2&p=2']
;;;;;;;;
2-комн. кв., 45 м?, 2/9 этаж;2-комн. квартира, 45 м?;Москва, ЦАО, р-н Пресненский, Большой Кондратьевский пер., 4К3;3 499 ?/сутки;2 из 9;45 м?;сегодня, 07:26;https://www.cian.ru/rent/flat/154135293/;['https://cdn-p.cian.site/images/9/828/512/kvartira-moskva-bolshoy-kondratevskiy-pereulok-215828947-4.jpg', 'https://cdn-p.cian.site/images/9/828/512/kvartira-moskva-bolshoy-kondratevskiy-pereulok-215828947-4.jpg', 'https://cdn-p.cian.site/images/9/828/512/kvartira-moskva-bolshoy-kondratevskiy-pereulok-215828948-2.jpg', 'https://cdn-p.cian.site/images/9/828/512/kvartira-moskva-bolshoy-kondratevskiy-pereulok-215828951-2.jpg', 'https://cdn-p.cian.site/images/9/828/512/kvartira-moskva-bolshoy-kondratevskiy-pereulok-215828949-2.jpg', 'https://www.cian.ru/avatar.axd?i=135036&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;2-комн. квартира, 51 м?;Москва, ВАО, р-н Соколиная гора, проезд Энтузиастов, 17;3 200 ?/сутки;5 из 5;51 м?;сегодня, 19:15;https://www.cian.ru/rent/flat/240591653/;['https://cdn-p.cian.site/images/4/071/159/kvartira-moskva-proezd-entuziastov-951170471-4.jpg', 'https://cdn-p.cian.site/images/4/071/159/kvartira-moskva-proezd-entuziastov-951170471-4.jpg', 'https://cdn-p.cian.site/images/5/071/159/kvartira-moskva-proezd-entuziastov-951170525-2.jpg', 'https://cdn-p.cian.site/images/9/071/159/kvartira-moskva-proezd-entuziastov-951170920-2.jpg', 'https://cdn-p.cian.site/images/9/071/159/kvartira-moskva-proezd-entuziastov-951170932-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. квартира, 41 м?;Москва, САО, р-н Аэропорт, Планетная ул., 15;2 700 ?/сутки;2 из 5;41 м?;вчера, 19:32;https://www.cian.ru/rent/flat/234254504/;['https://cdn-p.cian.site/images/1/498/698/kvartira-moskva-planetnaya-ulica-896894197-4.jpg', 'https://cdn-p.cian.site/images/1/498/698/kvartira-moskva-planetnaya-ulica-896894197-4.jpg', 'https://cdn-p.cian.site/images/2/498/698/kvartira-moskva-planetnaya-ulica-896894207-2.jpg', 'https://cdn-p.cian.site/images/2/498/698/kvartira-moskva-planetnaya-ulica-896894205-2.jpg', 'https://cdn-p.cian.site/images/1/498/698/kvartira-moskva-planetnaya-ulica-896894189-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
Свободна! Рядом 3 Вокзала.;1-комн. квартира, 39 м?;Москва, ЦАО, р-н Красносельский, Большая Спасская ул., 8;2 637 ?/сутки;2 из 12;39 м?;сегодня, 05:48;https://www.cian.ru/rent/flat/241907753/;['https://cdn-p.cian.site/images/5/250/959/kvartira-moskva-bolshaya-spasskaya-ulica-959052517-4.jpg', 'https://cdn-p.cian.site/images/5/250/959/kvartira-moskva-bolshaya-spasskaya-ulica-959052517-4.jpg', 'https://cdn-p.cian.site/images/5/250/959/kvartira-moskva-bolshaya-spasskaya-ulica-959052519-2.jpg', 'https://cdn-p.cian.site/images/5/250/959/kvartira-moskva-bolshaya-spasskaya-ulica-959052535-2.jpg', 'https://cdn-p.cian.site/images/5/250/959/kvartira-moskva-bolshaya-spasskaya-ulica-959052524-2.jpg', 'https://www.cian.ru/avatar.axd?i=234647&t=2&p=2']
;;;;;;;;
Топовые апартаменты в ЖК Лайнер!;1-комн. квартира, 33 м?;Москва, САО, р-н Хорошевский, Ходынский бул., 20А;4 500 ?/сутки;10 из 15;33 м?;сегодня, 13:46;https://www.cian.ru/rent/flat/251353389/;['https://cdn-p.cian.site/images/39/449/301/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1039449371-4.jpg', 'https://cdn-p.cian.site/images/39/449/301/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1039449371-4.jpg', 'https://cdn-p.cian.site/images/39/449/301/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1039449382-2.jpg', 'https://cdn-p.cian.site/images/39/449/301/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1039449353-2.jpg', 'https://cdn-p.cian.site/images/39/449/301/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1039449373-2.jpg', 'https://www.cian.ru/avatar.axd?i=8512044&t=2&p=2']
;;;;;;;;
Ваш Комфорт-Наша Главная Задача;1-комн. квартира, 40 м?;Москва, ЮЗАО, р-н Теплый Стан, Профсоюзная ул., 128А;4 000 ?/сутки;2 из 18;40 м?;сегодня, 12:46;https://www.cian.ru/rent/flat/247488037/;['https://cdn-p.cian.site/images/23/235/001/posutochnaja-kvartira-moskva-profsoyuznaya-ulica-1005323261-4.jpg', 'https://cdn-p.cian.site/images/23/235/001/posutochnaja-kvartira-moskva-profsoyuznaya-ulica-1005323261-4.jpg', 'https://cdn-p.cian.site/images/75/135/001/posutochnaja-kvartira-moskva-profsoyuznaya-ulica-1005315721-2.jpg', 'https://cdn-p.cian.site/images/75/135/001/posutochnaja-kvartira-moskva-profsoyuznaya-ulica-1005315719-2.jpg', 'https://cdn-p.cian.site/images/75/135/001/posutochnaja-kvartira-moskva-profsoyuznaya-ulica-1005315722-2.jpg', 'https://www.cian.ru/avatar.axd?i=132718&t=2&p=2']
;;;;;;;;
Скидки на почасовую аренду 30%.;1-комн. квартира, 21 м?;Москва, СВАО, р-н Ярославский, Ярославское ш., 116К2;1 700 ?/сутки;11 из 16;21 м?;сегодня, 04:47;https://www.cian.ru/rent/flat/237665440/;['https://cdn-p.cian.site/images/0/341/429/kvartira-moskva-yaroslavskoe-shosse-924143011-4.jpg', 'https://cdn-p.cian.site/images/0/341/429/kvartira-moskva-yaroslavskoe-shosse-924143011-4.jpg', 'https://cdn-p.cian.site/images/0/341/429/kvartira-moskva-yaroslavskoe-shosse-924143007-2.jpg', 'https://cdn-p.cian.site/images/75/632/001/1002365786-2.jpg', 'https://cdn-p.cian.site/images/0/341/429/kvartira-moskva-yaroslavskoe-shosse-924143008-2.jpg']
;;;;;;;;
Однушка в деловом районе Москвы;1-комн. квартира, 38 м?;Москва, САО, р-н Аэропорт, ул. Черняховского, 9К1;2 900 ?/сутки;7 из 14;38 м?;сегодня, 07:01;https://www.cian.ru/rent/flat/168204647/;['https://cdn-p.cian.site/images/7/188/017/kvartira-moskva-ulica-chernyahovskogo-710881700-4.jpg', 'https://cdn-p.cian.site/images/7/188/017/kvartira-moskva-ulica-chernyahovskogo-710881700-4.jpg', 'https://cdn-p.cian.site/images/4/989/648/kvartira-moskva-ulica-chernyahovskogo-846989410-2.jpg', 'https://cdn-p.cian.site/images/8/364/017/kvartira-moskva-ulica-chernyahovskogo-710463844-2.jpg', 'https://cdn-p.cian.site/images/8/364/017/kvartira-moskva-ulica-chernyahovskogo-710463845-2.jpg', 'https://www.cian.ru/avatar.axd?i=366151&t=2&p=2']
;;;;;;;;
Уютная Квартирка;1-комн. квартира, 38 м?;Москва, ЮЗАО, р-н Ясенево, Вильнюсская ул., 15;2 300 ?/сутки;3 из 17;38 м?;сегодня, 14:56;https://www.cian.ru/rent/flat/231428826/;['https://cdn-p.cian.site/images/5/032/278/kvartira-moskva-vilnyusskaya-ulica-872230575-4.jpg', 'https://cdn-p.cian.site/images/5/032/278/kvartira-moskva-vilnyusskaya-ulica-872230575-4.jpg', 'https://cdn-p.cian.site/images/6/032/278/kvartira-moskva-vilnyusskaya-ulica-872230601-2.jpg', 'https://cdn-p.cian.site/images/7/935/788/kvartira-moskva-vilnyusskaya-ulica-887539794-2.jpg', 'https://cdn-p.cian.site/images/3/822/289/posutochnaja-kvartira-moskva-vilnyusskaya-ulica-982228368-2.jpg']
;;;;;;;;
АКЦИЯ -200 рублей в сутки *;1-комн. квартира, 42 м?;Москва, ЮЗАО, р-н Академический, ул. Шверника, 5К2;2 500 ?/сутки;6 из 9;42 м?;вчера, 20:36;https://www.cian.ru/rent/flat/236554213/;['https://cdn-p.cian.site/images/7/132/619/kvartira-moskva-ulica-shvernika-916231727-4.jpg', 'https://cdn-p.cian.site/images/7/132/619/kvartira-moskva-ulica-shvernika-916231727-4.jpg', 'https://cdn-p.cian.site/images/7/132/619/kvartira-moskva-ulica-shvernika-916231728-2.jpg', 'https://cdn-p.cian.site/images/7/132/619/kvartira-moskva-ulica-shvernika-916231730-2.jpg', 'https://cdn-p.cian.site/images/7/132/619/kvartira-moskva-ulica-shvernika-916231732-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
Лучшее предложение! Рядом с метро;1-комн. квартира, 36 м?;Москва, ЮВАО, р-н Люблино, Совхозная ул., 41;2 000 ?/сутки;6 из 16;36 м?;сегодня, 05:35;https://www.cian.ru/rent/flat/241467334/;['https://cdn-p.cian.site/images/0/757/559/kvartira-moskva-krasnodarskaya-ulica-955757009-4.jpg', 'https://cdn-p.cian.site/images/0/757/559/kvartira-moskva-krasnodarskaya-ulica-955757009-4.jpg', 'https://cdn-p.cian.site/images/0/757/559/kvartira-moskva-krasnodarskaya-ulica-955757026-2.jpg', 'https://cdn-p.cian.site/images/0/757/559/kvartira-moskva-krasnodarskaya-ulica-955757007-2.jpg', 'https://cdn-p.cian.site/images/0/757/559/kvartira-moskva-krasnodarskaya-ulica-955757008-2.jpg']
;;;;;;;;
24/7 ждём гостей);1-комн. квартира, 40 м?;Москва, ЮЗАО, р-н Южное Бутово, ул. Адмирала Лазарева, 62;2 200 ?/сутки;8 из 17;40 м?;сегодня, 14:52;https://www.cian.ru/rent/flat/222402589/;['https://cdn-p.cian.site/images/97/133/401/posutochnaja-kvartira-moskva-ulica-admirala-lazareva-1043317932-4.jpg', 'https://cdn-p.cian.site/images/97/133/401/posutochnaja-kvartira-moskva-ulica-admirala-lazareva-1043317932-4.jpg', 'https://cdn-p.cian.site/images/97/133/401/posutochnaja-kvartira-moskva-ulica-admirala-lazareva-1043317935-2.jpg', 'https://cdn-p.cian.site/images/97/133/401/posutochnaja-kvartira-moskva-ulica-admirala-lazareva-1043317933-2.jpg', 'https://cdn-p.cian.site/images/20/494/501/posutochnaja-kvartira-moskva-ulica-admirala-lazareva-1054940261-2.jpg']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. квартира, 30 м?;Москва, САО, р-н Ховрино, Флотская ул., 7к2;2 300 ?/сутки;5 из 28;30 м?;сегодня, 19:55;https://www.cian.ru/rent/flat/225286489/;['https://cdn-p.cian.site/images/3/790/328/kvartira-moskva-flotskaya-ulica-823097372-4.jpg', 'https://cdn-p.cian.site/images/3/790/328/kvartira-moskva-flotskaya-ulica-823097372-4.jpg', 'https://cdn-p.cian.site/images/3/790/328/kvartira-moskva-flotskaya-ulica-823097369-2.jpg', 'https://cdn-p.cian.site/images/3/790/328/kvartira-moskva-flotskaya-ulica-823097370-2.jpg', 'https://cdn-p.cian.site/images/3/790/328/kvartira-moskva-flotskaya-ulica-823097362-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. квартира, 27 м?;Москва, ВАО, р-н Восточное Измайлово, 12-я Парковая ул., 5;2 200 ?/сутки;4 из 5;27 м?;вчера, 19:25;https://www.cian.ru/rent/flat/243376736/;['https://cdn-p.cian.site/images/5/366/079/kvartira-moskva-12ya-parkovaya-ulica-970663573-4.jpg', 'https://cdn-p.cian.site/images/5/366/079/kvartira-moskva-12ya-parkovaya-ulica-970663573-4.jpg', 'https://cdn-p.cian.site/images/5/366/079/kvartira-moskva-12ya-parkovaya-ulica-970663549-2.jpg', 'https://cdn-p.cian.site/images/5/366/079/kvartira-moskva-12ya-parkovaya-ulica-970663554-2.jpg', 'https://cdn-p.cian.site/images/5/366/079/kvartira-moskva-12ya-parkovaya-ulica-970663550-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;2-комн. квартира, 51 м?;Москва, ЮАО, р-н Донской, Варшавское ш., 18К1;3 200 ?/сутки;2 из 8;51 м?;сегодня, 20:16;https://www.cian.ru/rent/flat/239100698/;['https://cdn-p.cian.site/images/7/511/639/kvartira-moskva-varshavskoe-shosse-936115738-4.jpg', 'https://cdn-p.cian.site/images/7/511/639/kvartira-moskva-varshavskoe-shosse-936115738-4.jpg', 'https://cdn-p.cian.site/images/7/511/639/kvartira-moskva-varshavskoe-shosse-936115778-2.jpg', 'https://cdn-p.cian.site/images/8/511/639/kvartira-moskva-varshavskoe-shosse-936115809-2.jpg', 'https://cdn-p.cian.site/images/1/811/639/kvartira-moskva-varshavskoe-shosse-936118188-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
2-комн. кв., 57 м?, 19/22 этаж;2-комн. квартира, 57 м?;Москва, ЮАО, р-н Нагорный, Балаклавский просп., 2К2;2 500 ?/сутки;19 из 22;57 м?;сегодня, 14:47;https://www.cian.ru/rent/flat/243999849/;['https://cdn-p.cian.site/images/98/594/601/posutochnaja-kvartira-moskva-balaklavskiy-prospekt-1064958984-4.jpg', 'https://cdn-p.cian.site/images/98/594/601/posutochnaja-kvartira-moskva-balaklavskiy-prospekt-1064958984-4.jpg', 'https://cdn-p.cian.site/images/98/594/601/posutochnaja-kvartira-moskva-balaklavskiy-prospekt-1064958985-2.jpg', 'https://cdn-p.cian.site/images/98/594/601/posutochnaja-kvartira-moskva-balaklavskiy-prospekt-1064958986-2.jpg', 'https://cdn-p.cian.site/images/98/594/601/posutochnaja-kvartira-moskva-balaklavskiy-prospekt-1064958982-2.jpg']
;;;;;;;;
Новый ремонт чистота и комфорт;1-комн. квартира, 41 м?;Москва, НАО (Новомосковский), Воскресенское поселение, проезд Чечерский, 128;2 000 ?/сутки;6 из 16;41 м?;сегодня, 10:42;https://www.cian.ru/rent/flat/240829391/;['https://cdn-p.cian.site/images/0/632/059/kvartira-voskresenskoe-checherskiy-proezd-950236015-4.jpg', 'https://cdn-p.cian.site/images/0/632/059/kvartira-voskresenskoe-checherskiy-proezd-950236015-4.jpg', 'https://cdn-p.cian.site/images/0/632/059/kvartira-voskresenskoe-checherskiy-proezd-950236010-2.jpg', 'https://cdn-p.cian.site/images/0/632/059/kvartira-voskresenskoe-checherskiy-proezd-950236011-2.jpg', 'https://cdn-p.cian.site/images/0/632/059/kvartira-voskresenskoe-checherskiy-proezd-950236014-2.jpg', 'https://www.cian.ru/avatar.axd?i=21691975&t=2&p=2']
;;;;;;;;
Большая 2ка С Панорамным Видом;2-комн. квартира, 60 м?;Москва, ЮЗАО, р-н Ломоносовский, Ленинский просп., 83;3 500 ?/сутки;8 из 8;60 м?;сегодня, 12:21;https://www.cian.ru/rent/flat/158562892/;['https://cdn-p.cian.site/images/8/895/893/kvartira-moskva-leninskiy-prospekt-398598869-4.jpg', 'https://cdn-p.cian.site/images/8/895/893/kvartira-moskva-leninskiy-prospekt-398598869-4.jpg', 'https://cdn-p.cian.site/images/1/995/893/kvartira-moskva-leninskiy-prospekt-398599141-2.jpg', 'https://cdn-p.cian.site/images/2/995/893/kvartira-moskva-leninskiy-prospekt-398599213-2.jpg', 'https://cdn-p.cian.site/images/6/486/452/kvartira-moskva-leninskiy-prospekt-254684689-2.jpg', 'https://www.cian.ru/avatar.axd?i=132718&t=2&p=2']
;;;;;;;;
Роскошный Лофт в ЖК Лайнер;2-комн. квартира, 45 м?;Москва, САО, р-н Хорошевский, Ходынский бул., 20А;6 000 ?/сутки;6 из 15;45 м?;сегодня, 07:30;https://www.cian.ru/rent/flat/251353212/;['https://cdn-p.cian.site/images/80/541/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1041450865-4.jpg', 'https://cdn-p.cian.site/images/80/541/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1041450865-4.jpg', 'https://cdn-p.cian.site/images/80/541/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1041450882-2.jpg', 'https://cdn-p.cian.site/images/80/541/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1041450867-2.jpg', 'https://cdn-p.cian.site/images/80/541/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1041450866-2.jpg', 'https://www.cian.ru/avatar.axd?i=8512044&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. апартаменты, 27 м?;Москва, САО, р-н Ховрино, Флотская ул., 7к2;2 300 ?/сутки;5 из 28;27 м?;вчера, 19:16;https://www.cian.ru/rent/flat/237038065/;['https://cdn-p.cian.site/images/2/074/919/kvartira-moskva-flotskaya-ulica-919470239-4.jpg', 'https://cdn-p.cian.site/images/2/074/919/kvartira-moskva-flotskaya-ulica-919470239-4.jpg', 'https://cdn-p.cian.site/images/2/074/919/kvartira-moskva-flotskaya-ulica-919470241-2.jpg', 'https://cdn-p.cian.site/images/2/074/919/kvartira-moskva-flotskaya-ulica-919470240-2.jpg', 'https://cdn-p.cian.site/images/2/074/919/kvartira-moskva-flotskaya-ulica-919470297-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
Апартаменты-студия, 12 м?, 14/21 этаж;Апартаменты-студия, 12 м?;Москва, ЮЗАО, р-н Коньково, ул. Бутлерова, 7Б;1 990 ?/сутки;14 из 21;12 м?;сегодня, 05:11;https://www.cian.ru/rent/flat/246749975/;['https://cdn-p.cian.site/images/1/978/799/posutochnaja-kvartira-moskva-ulica-butlerova-997879113-4.jpg', 'https://cdn-p.cian.site/images/1/978/799/posutochnaja-kvartira-moskva-ulica-butlerova-997879113-4.jpg', 'https://cdn-p.cian.site/images/0/978/799/posutochnaja-kvartira-moskva-ulica-butlerova-997879081-2.jpg', 'https://cdn-p.cian.site/images/0/978/799/posutochnaja-kvartira-moskva-ulica-butlerova-997879083-2.jpg', 'https://cdn-p.cian.site/images/0/978/799/posutochnaja-kvartira-moskva-ulica-butlerova-997879084-2.jpg', 'https://www.cian.ru/avatar.axd?i=246189&t=2&p=2']
;;;;;;;;
